company,role,level,trackName,totalMin,totalMax,baseMin,baseMax,equityMin,equityMax,equityType,equityVesting,joiningBonusMin,joiningBonusMax,variablePct,noticePeriodDays,bondPenaltyLpa,sourceGlassdoor,sourceAmbitionbox,sourceLevelsFyi,sourceDrhp,sourceOperatorNetwork,resumeSignals,notes,lastVerified
# === EXAMPLE ROWS — DELETE BEFORE USE ===
# company: lowercase, no suffixes ("tcs" not "TCS Ltd"). role: kebab-case canonical key from data/salaries.ts (software-engineer | sap-consultant | data-engineer | ...). level: entry|mid|senior|lead|executive. trackName: leave blank for single-track; populate for multi-track companies (e.g. "Ninja", "Digital", "Prime", "GenC", "GenC Next", "DSE", "Specialist L3"). All ₹ values in LPA. equityType: rsu|esop|none. resumeSignals: pipe-separated ("NQT top decile|coding test invite"). At least ONE source URL required; agreementCount derived from how many source columns are filled. lastVerified: YYYY-MM-DD ISO. Lines starting with # are comments and skipped by the importer.
google,engineering-manager,senior,,29.7,35.6,19.3,23.1,7.4,8.9,rsu,,,,,,,,https://www.ambitionbox.com/salaries/google-salaries,,,,,AB scrape: Technical Lead (n=172); n=172; equity split estimated.,2026-05-08
microsoft,software-engineer,mid,,28.6,33.2,18.6,21.6,7.2,8.3,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Software Engineer (n=3428); Software Developer (n=1357); n=4785; equity split estimated.,2026-05-08
microsoft,software-engineer,lead,,40.2,44.5,26.1,28.9,10.1,11.1,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Senior Software Engineer (n=2920); n=2920; equity split estimated.,2026-05-08
microsoft,product-manager,senior,,33.5,37.0,21.8,24.1,8.4,9.3,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Product Manager (n=433); n=433; equity split estimated.,2026-05-08
microsoft,product-manager,lead,,61.4,67.8,39.9,44.1,15.3,16.9,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Senior Product Manager (n=376); n=376; equity split estimated.,2026-05-08
microsoft,data-engineer,senior,,28.0,31.2,18.2,20.3,7.0,7.8,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Data Engineer (n=288); n=288; equity split estimated.,2026-05-08
microsoft,data-scientist,mid,,27.0,31.0,17.6,20.2,6.8,7.8,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Data Scientist (n=283); n=283; equity split estimated.,2026-05-08
microsoft,project-manager,senior,,23.8,27.0,15.5,17.6,6.0,6.8,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Project Manager (n=227); n=227; equity split estimated.,2026-05-08
microsoft,data-engineer,mid,,13.8,17.7,9.0,11.5,3.5,4.4,rsu,,,,,,,,https://www.ambitionbox.com/salaries/microsoft-corporation-salaries,,,,,AB scrape: Data Analyst (n=208); n=208; equity split estimated.,2026-05-08
amazon,software-engineer,mid,,20.6,28.9,13.4,18.8,5.2,7.2,rsu,,,,,,,,https://www.ambitionbox.com/salaries/amazon-salaries,,,,,AB scrape: Software Developer (n=3212); Software Engineer (n=2873); Software Development Engineer (n=2660); n=8745; equity split estimated.,2026-05-08
amazon,program-manager,senior,,20.3,22.5,13.2,14.6,5.1,5.6,rsu,,,,,,,,https://www.ambitionbox.com/salaries/amazon-salaries,,,,,AB scrape: Program Manager (n=2527); n=2527; equity split estimated.,2026-05-08
amazon,business-analyst,mid,,14.7,16.3,9.6,10.6,3.7,4.1,rsu,,,,,,,,https://www.ambitionbox.com/salaries/amazon-salaries,,,,,AB scrape: Business Analyst (n=2032); n=2032; equity split estimated.,2026-05-08
amazon,qa-engineer,mid,,4.5,5.0,2.9,3.3,1.1,1.3,rsu,,,,,,,,https://www.ambitionbox.com/salaries/amazon-salaries,,,,,AB scrape: Quality Analyst (n=1353); n=1353; equity split estimated.,2026-05-08
tcs,software-engineer,mid,,4.9,9.4,3.7,7.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: System Engineer (n=106488); Software Engineer (n=25564); Software Developer (n=22038); n=166598,2026-05-08
tcs,software-engineer,senior,,10.6,18.0,7.9,13.5,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: IT Analyst (n=56500); IT Analyst C2 (n=27786); Senior Software Engineer (n=9591); n=99509,2026-05-08
tcs,software-engineer,entry,,3.6,4.0,2.7,3.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Assistant System Engineer (n=32249); n=32249,2026-05-08
tcs,embedded-engineer,mid,,6.3,6.9,4.7,5.2,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: System Engineer Hardware (n=14466); n=14466,2026-05-08
tcs,devops-engineer,mid,,5.8,6.4,4.3,4.8,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Devops Engineer (n=12192); n=12192,2026-05-08
tcs,engineering-manager,lead,,18.0,19.9,13.5,14.9,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Technical Lead (n=10639); n=10639,2026-05-08
tcs,business-analyst,senior,,7.4,8.2,5.6,6.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Business Analyst (n=9148); n=9148,2026-05-08
tcs,data-engineer,mid,,5.1,7.2,3.8,5.4,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Data Engineer (n=8790); Data Analyst (n=7205); n=15995,2026-05-08
tcs,backend-developer,mid,,5.6,6.2,4.2,4.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Java Developer (n=8785); n=8785,2026-05-08
tcs,cloud-engineer,mid,,4.8,5.3,3.6,4.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: System Administrator (n=7432); n=7432,2026-05-08
tcs,qa-engineer,mid,,7.7,8.5,5.8,6.4,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/tcs-salaries,,,,,AB scrape: Softwaretest Engineer (n=7389); n=7389,2026-05-08
infosys,software-engineer,mid,,2.9,12.1,2.2,9.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: Technology Analyst (n=53372); Senior Systems Engineer (n=44614); Software Engineer (n=13904); n=136559,2026-05-08
infosys,software-engineer,entry,,3.6,4.0,2.7,3.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: System Engineer (n=34939); n=34939,2026-05-08
infosys,engineering-manager,lead,,12.5,13.8,9.4,10.4,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: Technical Lead (n=34120); n=34120,2026-05-08
infosys,qa-engineer,mid,,4.4,8.2,3.3,6.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: Test Analyst (n=12721); Test Engineer (n=10125); Quality Analyst (n=3957); n=33321,2026-05-08
infosys,embedded-engineer,entry,,3.7,4.1,2.8,3.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: System Engineer Hardware (n=7692); n=7692,2026-05-08
infosys,qa-engineer,lead,,12.2,13.5,9.1,10.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: Technical Test Leader (n=5774); n=5774,2026-05-08
infosys,solutions-architect,executive,,27.8,30.7,20.9,23.0,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: Lead Consultant (n=5766); n=5766,2026-05-08
infosys,project-manager,executive,,17.8,19.7,13.4,14.8,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/infosys-salaries,,,,,AB scrape: Project Manager (n=4436); n=4436,2026-05-08
cognizant,software-engineer,mid,,5.2,10.1,3.9,7.6,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Software Engineer (n=19927); Senior Systems Engineer (n=6865); Software Developer (n=6593); n=33385,2026-05-08
cognizant,engineering-manager,senior,,11.1,12.2,8.3,9.1,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Technical Lead (n=18189); n=18189,2026-05-08
cognizant,project-manager,executive,,26.5,29.2,19.9,21.9,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Project Manager (n=8549); n=8549,2026-05-08
cognizant,software-engineer,senior,,17.7,19.6,13.3,14.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Senior Software Engineer (n=6310); n=6310,2026-05-08
cognizant,qa-engineer,mid,,5.3,6.3,4.0,4.7,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Softwaretest Engineer (n=4870); Test Analyst (n=3140); n=8010,2026-05-08
cognizant,data-engineer,mid,,6.1,7.9,4.6,5.9,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Data Analyst (n=3770); Data Engineer (n=3613); n=7383,2026-05-08
cognizant,devops-engineer,mid,,7.5,8.3,5.6,6.2,0,0,none,,,,,,,,https://www.ambitionbox.com/salaries/cognizant-salaries,,,,,AB scrape: Devops Engineer (n=3283); n=3283,2026-05-08
adobe,software-engineer,mid,,20.0,30.5,13.0,19.8,5.0,7.6,rsu,,,,,,,,https://www.ambitionbox.com/salaries/adobe-salaries,,,,,AB scrape: Software Developer (n=347); Software Engineer (n=330); Software Development Engineer (n=101); n=778; equity split estimated.,2026-05-08
adobe,software-engineer,senior,,29.9,34.1,19.4,22.2,7.5,8.5,rsu,,,,,,,,https://www.ambitionbox.com/salaries/adobe-salaries,,,,,AB scrape: Senior Software Engineer (n=278); n=278; equity split estimated.,2026-05-08
adobe,product-manager,senior,,30.3,35.3,19.7,22.9,7.6,8.8,rsu,,,,,,,,https://www.ambitionbox.com/salaries/adobe-salaries,,,,,AB scrape: Product Manager (n=135); n=135; equity split estimated.,2026-05-08
salesforce,salesforce-developer,mid,,17.4,19.3,11.3,12.5,4.3,4.8,rsu,,,,,,,,https://www.ambitionbox.com/salaries/salesforce-salaries,,,,,AB scrape: Salesforce Developer (n=362); n=362; equity split estimated.,2026-05-08
